-242.00, 196.00
-132.00, 197.00
-96.00, 124.00
0.00, 104.00
101.00, 181.00
81.00, 95.00
4.00, 65.00
76.00, 34.00
166.00, 60.00
163.00, 17.00
83.00, -31.00
83.00, -136.00
135.00, -147.00
151.00, -91.00
243.00, -66.00
221.00, 21.00
347.00, 41.00
266.00, -9.00
290.00, -65.00
354.00, -106.00
316.00, -179.00
277.00, -136.00
277.00, -103.00
197.00, -155.00
167.00, -222.00
89.00, -183.00
89.00, -251.00
4.00, -269.00
29.00, -122.00
-44.00, -105.00
-200.00, -180.00
-286.00, -180.00
-128.00, -41.00
-188.00, -47.00
-305.00, -118.00
-306.00, -163.00
-354.00, -161.00
-327.00, -14.00
-167.00, 63.00
-223.00, 74.00
-305.00, 40.00
-286.00, 89.00
-345.00, 103.00
-238.00, 144.00
-237.00, 121.00
-182.00, 131.00
-149.00, 131.00
